name	chromosome	coord	unique_bcs	gene	orientation	type
chr6:73522197-73522396_shuff	chr6	73522197-73522396_shuff	68	EEF1A1	minus	negative ctl
chr6:73522247-73522446_shuff	chr6	73522247-73522446_shuff	59	EEF1A1	minus	negative ctl
chr6:73522297-73522496_shuff	chr6	73522297-73522496_shuff	84	EEF1A1	minus	negative ctl
chr6:73522347-73522546_shuff	chr6	73522347-73522546_shuff	62	EEF1A1	minus	negative ctl
chr6:73522397-73522596_shuff	chr6	73522397-73522596_shuff	65	EEF1A1	minus	negative ctl
chr6:73522447-73522646_shuff	chr6	73522447-73522646_shuff	40	EEF1A1	minus	negative ctl
chr6:73522497-73522696_shuff	chr6	73522497-73522696_shuff	29	EEF1A1	minus	negative ctl
chr6:73522547-73522746_shuff	chr6	73522547-73522746_shuff	56	EEF1A1	minus	negative ctl
chr6:73522597-73522796_shuff	chr6	73522597-73522796_shuff	32	EEF1A1	minus	negative ctl
chr6:73522647-73522846_shuff	chr6	73522647-73522846_shuff	79	EEF1A1	minus	negative ctl
chr6:73522697-73522896_shuff	chr6	73522697-73522896_shuff	62	EEF1A1	minus	negative ctl
chr6:73522747-73522946_shuff	chr6	73522747-73522946_shuff	140	EEF1A1	minus	negative ctl
chr6:73522797-73522996_shuff	chr6	73522797-73522996_shuff	24	EEF1A1	minus	negative ctl
chr6:73522847-73523046_shuff	chr6	73522847-73523046_shuff	123	EEF1A1	minus	negative ctl
chr6:73522897-73523096_shuff	chr6	73522897-73523096_shuff	96	EEF1A1	minus	negative ctl
chr6:73522947-73523146_shuff	chr6	73522947-73523146_shuff	79	EEF1A1	minus	negative ctl
chr6:73522997-73523196_shuff	chr6	73522997-73523196_shuff	84	EEF1A1	minus	negative ctl
chr6:73523047-73523246_shuff	chr6	73523047-73523246_shuff	118	EEF1A1	minus	negative ctl
chr6:73523097-73523296_shuff	chr6	73523097-73523296_shuff	119	EEF1A1	minus	negative ctl
chr6:73523147-73523346_shuff	chr6	73523147-73523346_shuff	115	EEF1A1	minus	negative ctl
chr6:73523197-73523396_shuff	chr6	73523197-73523396_shuff	122	EEF1A1	minus	negative ctl
chr6:73523247-73523446_shuff	chr6	73523247-73523446_shuff	178	EEF1A1	minus	negative ctl
chr6:73523297-73523496_shuff	chr6	73523297-73523496_shuff	159	EEF1A1	minus	negative ctl
chr6:73523347-73523546_shuff	chr6	73523347-73523546_shuff	146	EEF1A1	minus	negative ctl
chr6:73523397-73523596_shuff	chr6	73523397-73523596_shuff	114	EEF1A1	minus	negative ctl
chr6:73523447-73523646_shuff	chr6	73523447-73523646_shuff	116	EEF1A1	minus	negative ctl
chr6:73523497-73523696_shuff	chr6	73523497-73523696_shuff	5	EEF1A1	minus	negative ctl
chr6:73523547-73523746_shuff	chr6	73523547-73523746_shuff	1	EEF1A1	minus	negative ctl
chr6:73523597-73523796_shuff	chr6	73523597-73523796_shuff	123	EEF1A1	minus	negative ctl
chr6:73523647-73523846_shuff	chr6	73523647-73523846_shuff	108	EEF1A1	minus	negative ctl
chr6:73523697-73523896_shuff	chr6	73523697-73523896_shuff	121	EEF1A1	minus	negative ctl
chr6:73523747-73523946_shuff	chr6	73523747-73523946_shuff	113	EEF1A1	minus	negative ctl
chr6:73523797-73523996_shuff	chr6	73523797-73523996_shuff	88	EEF1A1	minus	negative ctl
chr6:73523847-73524046_shuff	chr6	73523847-73524046_shuff	47	EEF1A1	minus	negative ctl
chr6:73523897-73524096_shuff	chr6	73523897-73524096_shuff	57	EEF1A1	minus	negative ctl
chr6:73523947-73524146_shuff	chr6	73523947-73524146_shuff	50	EEF1A1	minus	negative ctl
chr6:73523997-73524196_shuff	chr6	73523997-73524196_shuff	94	EEF1A1	minus	negative ctl
chr6:73524047-73524246_shuff	chr6	73524047-73524246_shuff	62	EEF1A1	minus	negative ctl
chr6:73524097-73524296_shuff	chr6	73524097-73524296_shuff	64	EEF1A1	minus	negative ctl
chr6:73524147-73524346_shuff	chr6	73524147-73524346_shuff	82	EEF1A1	minus	negative ctl
chrY:9466673-9466872	chrY	9466673-9466872	11	TSPY1	plus	test
chrY:9466723-9466922	chrY	9466723-9466922	3	TSPY1	plus	test
chrY:9466773-9466972	chrY	9466773-9466972	62	TSPY1	plus	test
chrY:9466823-9467022	chrY	9466823-9467022	76	TSPY1	plus	test
chrY:9466873-9467072	chrY	9466873-9467072	117	TSPY1	plus	test
chrY:9466923-9467122	chrY	9466923-9467122	159	TSPY1	plus	test
chrY:9466973-9467172	chrY	9466973-9467172	53	TSPY1	plus	test
chrY:9467023-9467222	chrY	9467023-9467222	101	TSPY1	plus	test
chrY:9467073-9467272	chrY	9467073-9467272	80	TSPY1	plus	test
chrY:9467123-9467322	chrY	9467123-9467322	58	TSPY1	plus	test
chrY:9467173-9467372	chrY	9467173-9467372	71	TSPY1	plus	test
chrY:9467223-9467422	chrY	9467223-9467422	70	TSPY1	plus	test
chrY:9467273-9467472	chrY	9467273-9467472	130	TSPY1	plus	test
chrY:9467323-9467522	chrY	9467323-9467522	155	TSPY1	plus	test
chrY:9467373-9467572	chrY	9467373-9467572	170	TSPY1	plus	test
chrY:9467423-9467622	chrY	9467423-9467622	142	TSPY1	plus	test
chrY:12661431-12661630	chrY	12661431-12661630	86	USP9Y	plus	test
chrY:12661481-12661680	chrY	12661481-12661680	118	USP9Y	plus	test
chrY:12661531-12661730	chrY	12661531-12661730	82	USP9Y	plus	test
chrY:12661581-12661780	chrY	12661581-12661780	44	USP9Y	plus	test
chrY:12661631-12661830	chrY	12661631-12661830	86	USP9Y	plus	test
chrY:12661681-12661880	chrY	12661681-12661880	74	USP9Y	plus	test
chrY:12661731-12661930	chrY	12661731-12661930	183	USP9Y	plus	test
chrY:12661781-12661980	chrY	12661781-12661980	95	USP9Y	plus	test
chrY:12661831-12662030	chrY	12661831-12662030	102	USP9Y	plus	test
chrY:12661881-12662080	chrY	12661881-12662080	108	USP9Y	plus	test
chrY:12661931-12662130	chrY	12661931-12662130	116	USP9Y	plus	test
chrY:12661981-12662180	chrY	12661981-12662180	55	USP9Y	plus	test
chrY:12662031-12662230	chrY	12662031-12662230	35	USP9Y	plus	test
chrY:12662081-12662280	chrY	12662081-12662280	12	USP9Y	plus	test
chrY:12662131-12662330	chrY	12662131-12662330	18	USP9Y	plus	test
chrY:12662231-12662430	chrY	12662231-12662430	0	USP9Y	plus	test
chrY:12662281-12662480	chrY	12662281-12662480	47	USP9Y	plus	test
chrY:12662331-12662530	chrY	12662331-12662530	56	USP9Y	plus	test
chrY:12662381-12662580	chrY	12662381-12662580	128	USP9Y	plus	test
chrY:12662431-12662630	chrY	12662431-12662630	80	USP9Y	plus	test
chrY:12662481-12662680	chrY	12662481-12662680	66	USP9Y	plus	test
chrY:12662531-12662730	chrY	12662531-12662730	49	USP9Y	plus	test
chrY:12662581-12662780	chrY	12662581-12662780	73	USP9Y	plus	test
chrY:12662631-12662830	chrY	12662631-12662830	74	USP9Y	plus	test
chrY:12662681-12662880	chrY	12662681-12662880	68	USP9Y	plus	test
chrY:12662731-12662930	chrY	12662731-12662930	87	USP9Y	plus	test
chrY:12662781-12662980	chrY	12662781-12662980	91	USP9Y	plus	test
chrY:12662831-12663030	chrY	12662831-12663030	83	USP9Y	plus	test
chrY:12662881-12663080	chrY	12662881-12663080	98	USP9Y	plus	test
chrY:12662931-12663130	chrY	12662931-12663130	165	USP9Y	plus	test
chrY:12662981-12663180	chrY	12662981-12663180	120	USP9Y	plus	test
chrY:12663031-12663230	chrY	12663031-12663230	82	USP9Y	plus	test
chrY:12663081-12663280	chrY	12663081-12663280	79	USP9Y	plus	test
chrY:12663131-12663330	chrY	12663131-12663330	63	USP9Y	plus	test
chrY:12663181-12663380	chrY	12663181-12663380	79	USP9Y	plus	test
chrY:12663231-12663430	chrY	12663231-12663430	91	USP9Y	plus	test
chrY:12663281-12663480	chrY	12663281-12663480	102	USP9Y	plus	test
chrY:12663331-12663530	chrY	12663331-12663530	115	USP9Y	plus	test
chrY:12663381-12663580	chrY	12663381-12663580	79	USP9Y	plus	test
chrY:12663431-12663630	chrY	12663431-12663630	126	USP9Y	plus	test
chrY:12663481-12663680	chrY	12663481-12663680	103	USP9Y	plus	test
chrY:12663531-12663730	chrY	12663531-12663730	118	USP9Y	plus	test
chrY:12663581-12663780	chrY	12663581-12663780	51	USP9Y	plus	test
chrY:12663631-12663830	chrY	12663631-12663830	55	USP9Y	plus	test
chrY:12663681-12663880	chrY	12663681-12663880	71	USP9Y	plus	test
chrY:12663731-12663930	chrY	12663731-12663930	44	USP9Y	plus	test
chrY:12663781-12663980	chrY	12663781-12663980	88	USP9Y	plus	test
chrY:12700106-12700305	chrY	12700106-12700305	44	USP9Yb	plus	test
chrY:12700156-12700355	chrY	12700156-12700355	84	USP9Yb	plus	test
chrY:12700206-12700405	chrY	12700206-12700405	58	USP9Yb	plus	test
chrY:12700256-12700455	chrY	12700256-12700455	30	USP9Yb	plus	test
chrY:12700306-12700505	chrY	12700306-12700505	61	USP9Yb	plus	test
chrY:12700356-12700555	chrY	12700356-12700555	72	USP9Yb	plus	test
chrY:12700406-12700605	chrY	12700406-12700605	55	USP9Yb	plus	test
chrY:12700456-12700655	chrY	12700456-12700655	73	USP9Yb	plus	test
chrY:12700506-12700705	chrY	12700506-12700705	95	USP9Yb	plus	test
chrY:12700556-12700755	chrY	12700556-12700755	94	USP9Yb	plus	test
chrY:12700606-12700805	chrY	12700606-12700805	98	USP9Yb	plus	test
chrY:12700656-12700855	chrY	12700656-12700855	67	USP9Yb	plus	test
chrY:12700706-12700905	chrY	12700706-12700905	61	USP9Yb	plus	test
chrY:12700756-12700955	chrY	12700756-12700955	152	USP9Yb	plus	test
chrY:12700806-12701005	chrY	12700806-12701005	59	USP9Yb	plus	test
chrY:12700856-12701055	chrY	12700856-12701055	32	USP9Yb	plus	test
chrY:12700906-12701105	chrY	12700906-12701105	32	USP9Yb	plus	test
chrY:12700956-12701155	chrY	12700956-12701155	65	USP9Yb	plus	test
chrY:12701006-12701205	chrY	12701006-12701205	130	USP9Yb	plus	test
chrY:12701056-12701255	chrY	12701056-12701255	122	USP9Yb	plus	test
chrY:12701106-12701305	chrY	12701106-12701305	53	USP9Yb	plus	test
chrY:12701156-12701355	chrY	12701156-12701355	57	USP9Yb	plus	test
chrY:12701206-12701405	chrY	12701206-12701405	59	USP9Yb	plus	test
chrY:12701256-12701455	chrY	12701256-12701455	74	USP9Yb	plus	test
chrY:12701306-12701505	chrY	12701306-12701505	136	USP9Yb	plus	test
chrY:12701356-12701555	chrY	12701356-12701555	47	USP9Yb	plus	test
chrY:12701406-12701605	chrY	12701406-12701605	95	USP9Yb	plus	test
chrY:12701456-12701655	chrY	12701456-12701655	60	USP9Yb	plus	test
chrY:12701506-12701705	chrY	12701506-12701705	48	USP9Yb	plus	test
chrY:12701556-12701755	chrY	12701556-12701755	79	USP9Yb	plus	test
chrY:12701606-12701805	chrY	12701606-12701805	45	USP9Yb	plus	test
chrY:12701656-12701855	chrY	12701656-12701855	54	USP9Yb	plus	test
chrY:12701706-12701905	chrY	12701706-12701905	65	USP9Yb	plus	test
chrY:12701756-12701955	chrY	12701756-12701955	64	USP9Yb	plus	test
chrY:12701806-12702005	chrY	12701806-12702005	48	USP9Yb	plus	test
chrY:12701856-12702055	chrY	12701856-12702055	103	USP9Yb	plus	test
chrY:12701906-12702105	chrY	12701906-12702105	59	USP9Yb	plus	test
chrY:12701956-12702155	chrY	12701956-12702155	44	USP9Yb	plus	test
chrY:12702006-12702205	chrY	12702006-12702205	58	USP9Yb	plus	test
chrY:12702056-12702255	chrY	12702056-12702255	93	USP9Yb	plus	test
chrY:12702106-12702305	chrY	12702106-12702305	50	USP9Yb	plus	test
chrY:12702156-12702355	chrY	12702156-12702355	91	USP9Yb	plus	test
chrY:12702206-12702405	chrY	12702206-12702405	52	USP9Yb	plus	test
chrY:12702256-12702455	chrY	12702256-12702455	86	USP9Yb	plus	test
chrY:12702306-12702505	chrY	12702306-12702505	104	USP9Yb	plus	test
chrY:12702356-12702555	chrY	12702356-12702555	70	USP9Yb	plus	test
chrY:12702406-12702605	chrY	12702406-12702605	61	USP9Yb	plus	test
chrY:12904115-12904314	chrY	12904115-12904314	99	DDX3Y	plus	test
chrY:12904165-12904364	chrY	12904165-12904364	82	DDX3Y	plus	test
chrY:12904215-12904414	chrY	12904215-12904414	78	DDX3Y	plus	test
chrY:12904265-12904464	chrY	12904265-12904464	65	DDX3Y	plus	test
chrY:12904315-12904514	chrY	12904315-12904514	40	DDX3Y	plus	test
chrY:12904365-12904564	chrY	12904365-12904564	85	DDX3Y	plus	test
chrY:12904415-12904614	chrY	12904415-12904614	43	DDX3Y	plus	test
chrY:12904465-12904664	chrY	12904465-12904664	44	DDX3Y	plus	test
chrY:12904515-12904714	chrY	12904515-12904714	64	DDX3Y	plus	test
chrY:12904565-12904764	chrY	12904565-12904764	68	DDX3Y	plus	test
chrY:12904615-12904814	chrY	12904615-12904814	131	DDX3Y	plus	test
chrY:12904665-12904864	chrY	12904665-12904864	104	DDX3Y	plus	test
chrY:12904715-12904914	chrY	12904715-12904914	71	DDX3Y	plus	test
chrY:12904765-12904964	chrY	12904765-12904964	69	DDX3Y	plus	test
chrY:12904815-12905014	chrY	12904815-12905014	130	DDX3Y	plus	test
chrY:12904865-12905064	chrY	12904865-12905064	128	DDX3Y	plus	test
chrY:12904915-12905114	chrY	12904915-12905114	110	DDX3Y	plus	test
chrY:12904965-12905164	chrY	12904965-12905164	91	DDX3Y	plus	test
chrY:12905015-12905214	chrY	12905015-12905214	60	DDX3Y	plus	test
chrY:12905065-12905264	chrY	12905065-12905264	7	DDX3Y	plus	test
chrY:12905115-12905314	chrY	12905115-12905314	28	DDX3Y	plus	test
chrY:12905165-12905364	chrY	12905165-12905364	94	DDX3Y	plus	test
chrY:12905215-12905414	chrY	12905215-12905414	73	DDX3Y	plus	test
chrY:12905265-12905464	chrY	12905265-12905464	53	DDX3Y	plus	test
chrY:12905315-12905514	chrY	12905315-12905514	81	DDX3Y	plus	test
chrY:12905365-12905564	chrY	12905365-12905564	105	DDX3Y	plus	test
chrY:12905415-12905614	chrY	12905415-12905614	77	DDX3Y	plus	test
chrY:12905465-12905664	chrY	12905465-12905664	72	DDX3Y	plus	test
chrY:12905515-12905714	chrY	12905515-12905714	78	DDX3Y	plus	test
chrY:12905565-12905764	chrY	12905565-12905764	108	DDX3Y	plus	test
chrY:12905615-12905814	chrY	12905615-12905814	86	DDX3Y	plus	test
chrY:12905665-12905864	chrY	12905665-12905864	76	DDX3Y	plus	test
chrY:12905715-12905914	chrY	12905715-12905914	97	DDX3Y	plus	test
chrY:12905765-12905964	chrY	12905765-12905964	61	DDX3Y	plus	test
chrY:12905815-12906014	chrY	12905815-12906014	118	DDX3Y	plus	test
chrY:12905865-12906064	chrY	12905865-12906064	84	DDX3Y	plus	test
chrY:12905915-12906114	chrY	12905915-12906114	95	DDX3Y	plus	test
chrY:12905965-12906164	chrY	12905965-12906164	98	DDX3Y	plus	test
chrY:12906015-12906214	chrY	12906015-12906214	95	DDX3Y	plus	test
chrY:12906065-12906264	chrY	12906065-12906264	64	DDX3Y	plus	test
chrY:12906115-12906314	chrY	12906115-12906314	67	DDX3Y	plus	test
chrY:12906165-12906364	chrY	12906165-12906364	59	DDX3Y	plus	test
chrY:12906215-12906414	chrY	12906215-12906414	76	DDX3Y	plus	test
chrY:12906265-12906464	chrY	12906265-12906464	71	DDX3Y	plus	test
chrY:12906315-12906514	chrY	12906315-12906514	78	DDX3Y	plus	test
chrY:12906365-12906564	chrY	12906365-12906564	89	DDX3Y	plus	test
chrY:12906415-12906614	chrY	12906415-12906614	57	DDX3Y	plus	test
chrY:12906465-12906664	chrY	12906465-12906664	58	DDX3Y	plus	test
chrY:12906515-12906714	chrY	12906515-12906714	85	DDX3Y	plus	test
chrY:12906565-12906764	chrY	12906565-12906764	67	DDX3Y	plus	test
chrY:12906615-12906814	chrY	12906615-12906814	73	DDX3Y	plus	test
chrY:12906665-12906864	chrY	12906665-12906864	48	DDX3Y	plus	test
chrY:12906715-12906914	chrY	12906715-12906914	33	DDX3Y	plus	test
chrY:12906765-12906964	chrY	12906765-12906964	73	DDX3Y	plus	test
chrY:12906815-12907014	chrY	12906815-12907014	53	DDX3Y	plus	test
chrY:12906865-12907064	chrY	12906865-12907064	59	DDX3Y	plus	test
chrY:12906915-12907114	chrY	12906915-12907114	60	DDX3Y	plus	test
chrY:12906965-12907164	chrY	12906965-12907164	66	DDX3Y	plus	test
chrY:12907015-12907214	chrY	12907015-12907214	38	DDX3Y	plus	test
chrY:12907065-12907264	chrY	12907065-12907264	60	DDX3Y	plus	test
chrY:12907115-12907314	chrY	12907115-12907314	74	DDX3Y	plus	test
chrY:13477062-13477261	chrY	13477062-13477261	55	UTY	minus	test
chrY:13477112-13477311	chrY	13477112-13477311	46	UTY	minus	test
chrY:13477162-13477361	chrY	13477162-13477361	70	UTY	minus	test
chrY:13477212-13477411	chrY	13477212-13477411	56	UTY	minus	test
chrY:13477262-13477461	chrY	13477262-13477461	87	UTY	minus	test
chrY:13477312-13477511	chrY	13477312-13477511	58	UTY	minus	test
chrY:13477362-13477561	chrY	13477362-13477561	68	UTY	minus	test
chrY:13477412-13477611	chrY	13477412-13477611	39	UTY	minus	test
chrY:13477462-13477661	chrY	13477462-13477661	30	UTY	minus	test
chrY:13477512-13477711	chrY	13477512-13477711	38	UTY	minus	test
chrY:13477562-13477761	chrY	13477562-13477761	27	UTY	minus	test
chrY:13477612-13477811	chrY	13477612-13477811	58	UTY	minus	test
chrY:13477662-13477861	chrY	13477662-13477861	64	UTY	minus	test
chrY:13477712-13477911	chrY	13477712-13477911	46	UTY	minus	test
chrY:13477762-13477961	chrY	13477762-13477961	36	UTY	minus	test
chrY:13477812-13478011	chrY	13477812-13478011	35	UTY	minus	test
chrY:13477862-13478061	chrY	13477862-13478061	35	UTY	minus	test
chrY:13477912-13478111	chrY	13477912-13478111	37	UTY	minus	test
chrY:13477962-13478161	chrY	13477962-13478161	48	UTY	minus	test
chrY:13478012-13478211	chrY	13478012-13478211	93	UTY	minus	test
chrY:13478062-13478261	chrY	13478062-13478261	77	UTY	minus	test
chrY:13478112-13478311	chrY	13478112-13478311	65	UTY	minus	test
chrY:13478162-13478361	chrY	13478162-13478361	57	UTY	minus	test
chrY:13478212-13478411	chrY	13478212-13478411	83	UTY	minus	test
chrY:13478262-13478461	chrY	13478262-13478461	123	UTY	minus	test
chrY:13478312-13478511	chrY	13478312-13478511	66	UTY	minus	test
chrY:13478362-13478561	chrY	13478362-13478561	67	UTY	minus	test
chrY:13478412-13478611	chrY	13478412-13478611	54	UTY	minus	test
chrY:13478462-13478661	chrY	13478462-13478661	73	UTY	minus	test
chrY:13478512-13478711	chrY	13478512-13478711	56	UTY	minus	test
chrY:13478562-13478761	chrY	13478562-13478761	124	UTY	minus	test
chrY:13478612-13478811	chrY	13478612-13478811	104	UTY	minus	test
chrY:13478662-13478861	chrY	13478662-13478861	84	UTY	minus	test
chrY:13478712-13478911	chrY	13478712-13478911	75	UTY	minus	test
chrY:13478762-13478961	chrY	13478762-13478961	72	UTY	minus	test
chrY:13478812-13479011	chrY	13478812-13479011	49	UTY	minus	test
chrY:13478862-13479061	chrY	13478862-13479061	136	UTY	minus	test
chrY:13478912-13479111	chrY	13478912-13479111	111	UTY	minus	test
chrY:13478962-13479161	chrY	13478962-13479161	77	UTY	minus	test
chrY:13479012-13479211	chrY	13479012-13479211	80	UTY	minus	test
chrY:13479062-13479261	chrY	13479062-13479261	115	UTY	minus	test
chrY:13479112-13479311	chrY	13479112-13479311	119	UTY	minus	test
chrY:13479162-13479361	chrY	13479162-13479361	95	UTY	minus	test
chrY:13479212-13479411	chrY	13479212-13479411	95	UTY	minus	test
chrY:13479262-13479461	chrY	13479262-13479461	137	UTY	minus	test
chrY:13479312-13479511	chrY	13479312-13479511	145	UTY	minus	test
chrY:13479362-13479561	chrY	13479362-13479561	129	UTY	minus	test
chrY:13479412-13479611	chrY	13479412-13479611	128	UTY	minus	test
chrY:13479462-13479661	chrY	13479462-13479661	108	UTY	minus	test
chrY:13479512-13479711	chrY	13479512-13479711	78	UTY	minus	test
chrY:13479562-13479761	chrY	13479562-13479761	90	UTY	minus	test
chrY:13479612-13479811	chrY	13479612-13479811	106	UTY	minus	test
chrY:13479662-13479861	chrY	13479662-13479861	70	UTY	minus	test
chrY:13479712-13479911	chrY	13479712-13479911	176	UTY	minus	test
chrY:13479762-13479961	chrY	13479762-13479961	133	UTY	minus	test
chrY:13479812-13480011	chrY	13479812-13480011	98	UTY	minus	test
chrY:13479862-13480061	chrY	13479862-13480061	147	UTY	minus	test
chrY:13479912-13480111	chrY	13479912-13480111	149	UTY	minus	test
chrY:13479962-13480161	chrY	13479962-13480161	113	UTY	minus	test
chrY:13480012-13480211	chrY	13480012-13480211	89	UTY	minus	test
chrY:13480062-13480261	chrY	13480062-13480261	74	UTY	minus	test
chrY:13480112-13480311	chrY	13480112-13480311	104	UTY	minus	test
chrY:13480162-13480361	chrY	13480162-13480361	67	UTY	minus	test
chrY:13480212-13480411	chrY	13480212-13480411	105	UTY	minus	test
chrY:13480262-13480461	chrY	13480262-13480461	127	UTY	minus	test
chrY:13480312-13480511	chrY	13480312-13480511	188	UTY	minus	test
chrY:13480362-13480561	chrY	13480362-13480561	81	UTY	minus	test
chrY:13703487-13703686	chrY	13703487-13703686	69	TMSB4Y	plus	test
chrY:13703537-13703736	chrY	13703537-13703736	138	TMSB4Y	plus	test
chrY:13703587-13703786	chrY	13703587-13703786	111	TMSB4Y	plus	test
chrY:13703637-13703836	chrY	13703637-13703836	106	TMSB4Y	plus	test
chrY:13703687-13703886	chrY	13703687-13703886	90	TMSB4Y	plus	test
chrY:13703737-13703936	chrY	13703737-13703936	94	TMSB4Y	plus	test
chrY:13703787-13703986	chrY	13703787-13703986	116	TMSB4Y	plus	test
chrY:13703837-13704036	chrY	13703837-13704036	147	TMSB4Y	plus	test
chrY:13703887-13704086	chrY	13703887-13704086	73	TMSB4Y	plus	test
chrY:13703937-13704136	chrY	13703937-13704136	108	TMSB4Y	plus	test
chrY:13703987-13704186	chrY	13703987-13704186	83	TMSB4Y	plus	test
chrY:13704037-13704236	chrY	13704037-13704236	53	TMSB4Y	plus	test
chrY:13704087-13704286	chrY	13704087-13704286	73	TMSB4Y	plus	test
chrY:13704137-13704336	chrY	13704137-13704336	88	TMSB4Y	plus	test
chrY:13704187-13704386	chrY	13704187-13704386	92	TMSB4Y	plus	test
chrY:13704237-13704436	chrY	13704237-13704436	34	TMSB4Y	plus	test
chrY:13704287-13704486	chrY	13704287-13704486	58	TMSB4Y	plus	test
chrY:13704337-13704536	chrY	13704337-13704536	61	TMSB4Y	plus	test
chrY:13704387-13704586	chrY	13704387-13704586	28	TMSB4Y	plus	test
chrY:13704437-13704636	chrY	13704437-13704636	31	TMSB4Y	plus	test
chrY:13704487-13704686	chrY	13704487-13704686	38	TMSB4Y	plus	test
chrY:13704537-13704736	chrY	13704537-13704736	80	TMSB4Y	plus	test
chrY:13704587-13704786	chrY	13704587-13704786	55	TMSB4Y	plus	test
chrY:13704637-13704836	chrY	13704637-13704836	83	TMSB4Y	plus	test
chrY:13704687-13704886	chrY	13704687-13704886	52	TMSB4Y	plus	test
chrY:13704737-13704936	chrY	13704737-13704936	50	TMSB4Y	plus	test
chrY:14522278-14522477	chrY	14522278-14522477	92	NLGN4Y	plus	test
chrY:14522328-14522527	chrY	14522328-14522527	91	NLGN4Y	plus	test
chrY:14522378-14522577	chrY	14522378-14522577	95	NLGN4Y	plus	test
chrY:14522428-14522627	chrY	14522428-14522627	100	NLGN4Y	plus	test
chrY:14522478-14522677	chrY	14522478-14522677	105	NLGN4Y	plus	test
chrY:14522528-14522727	chrY	14522528-14522727	122	NLGN4Y	plus	test
chrY:14522578-14522777	chrY	14522578-14522777	128	NLGN4Y	plus	test
chrY:14522628-14522827	chrY	14522628-14522827	97	NLGN4Y	plus	test
chrY:14522678-14522877	chrY	14522678-14522877	62	NLGN4Y	plus	test
chrY:14522728-14522927	chrY	14522728-14522927	71	NLGN4Y	plus	test
chrY:14522778-14522977	chrY	14522778-14522977	82	NLGN4Y	plus	test
chrY:14522828-14523027	chrY	14522828-14523027	79	NLGN4Y	plus	test
chrY:14522878-14523077	chrY	14522878-14523077	63	NLGN4Y	plus	test
chrY:14522928-14523127	chrY	14522928-14523127	96	NLGN4Y	plus	test
chrY:14522978-14523177	chrY	14522978-14523177	73	NLGN4Y	plus	test
chrY:14523028-14523227	chrY	14523028-14523227	79	NLGN4Y	plus	test
chrY:14523078-14523277	chrY	14523078-14523277	43	NLGN4Y	plus	test
chrY:14523128-14523327	chrY	14523128-14523327	67	NLGN4Y	plus	test
chrY:14523178-14523377	chrY	14523178-14523377	56	NLGN4Y	plus	test
chrY:14523228-14523427	chrY	14523228-14523427	33	NLGN4Y	plus	test
chrY:14523278-14523477	chrY	14523278-14523477	31	NLGN4Y	plus	test
chrY:14523328-14523527	chrY	14523328-14523527	22	NLGN4Y	plus	test
chrY:14523378-14523577	chrY	14523378-14523577	45	NLGN4Y	plus	test
chrY:14523428-14523627	chrY	14523428-14523627	87	NLGN4Y	plus	test
chrY:14523478-14523677	chrY	14523478-14523677	65	NLGN4Y	plus	test
chrY:14523528-14523727	chrY	14523528-14523727	81	NLGN4Y	plus	test
chrY:14523578-14523777	chrY	14523578-14523777	118	NLGN4Y	plus	test
chrY:14523628-14523827	chrY	14523628-14523827	76	NLGN4Y	plus	test
chrY:14523678-14523877	chrY	14523678-14523877	55	NLGN4Y	plus	test
chrY:14523728-14523927	chrY	14523728-14523927	77	NLGN4Y	plus	test
chrY:14523778-14523977	chrY	14523778-14523977	106	NLGN4Y	plus	test
chrY:14523828-14524027	chrY	14523828-14524027	124	NLGN4Y	plus	test
chrY:14523878-14524077	chrY	14523878-14524077	116	NLGN4Y	plus	test
chrY:14523928-14524127	chrY	14523928-14524127	177	NLGN4Y	plus	test
chrY:14523978-14524177	chrY	14523978-14524177	108	NLGN4Y	plus	test
chrY:14524028-14524227	chrY	14524028-14524227	87	NLGN4Y	plus	test
chrY:14524078-14524277	chrY	14524078-14524277	99	NLGN4Y	plus	test
chrY:14524128-14524327	chrY	14524128-14524327	64	NLGN4Y	plus	test
chrY:14524178-14524377	chrY	14524178-14524377	42	NLGN4Y	plus	test
chrY:14524228-14524427	chrY	14524228-14524427	91	NLGN4Y	plus	test
chrY:14524278-14524477	chrY	14524278-14524477	124	NLGN4Y	plus	test
chrY:14524328-14524527	chrY	14524328-14524527	128	NLGN4Y	plus	test
chrY:14524378-14524577	chrY	14524378-14524577	103	NLGN4Y	plus	test
chrY:14524428-14524627	chrY	14524428-14524627	61	NLGN4Y	plus	test
chrY:14524478-14524677	chrY	14524478-14524677	107	NLGN4Y	plus	test
chrY:14524528-14524727	chrY	14524528-14524727	89	NLGN4Y	plus	test
chrY:14524578-14524777	chrY	14524578-14524777	85	NLGN4Y	plus	test
chrY:14524628-14524827	chrY	14524628-14524827	110	NLGN4Y	plus	test
chrY:14524678-14524877	chrY	14524678-14524877	102	NLGN4Y	plus	test
chrY:14524728-14524927	chrY	14524728-14524927	165	NLGN4Y	plus	test
chrY:14524778-14524977	chrY	14524778-14524977	138	NLGN4Y	plus	test
chrY:14524828-14525027	chrY	14524828-14525027	149	NLGN4Y	plus	test
chrY:14524878-14525077	chrY	14524878-14525077	114	NLGN4Y	plus	test
chrY:14524928-14525127	chrY	14524928-14525127	89	NLGN4Y	plus	test
chrY:14524978-14525177	chrY	14524978-14525177	96	NLGN4Y	plus	test
